,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0,1,0,0,0,0,0,2,2,0,0,1
1,1,2,0,0,0,1,0,1,1,0,0,1
2,1,1,0,0,0,0,0,2,1,0,0,1
3,2,0,2,0,0,0,0,2,1,0,0,1
4,0,1,0,0,0,0,0,2,2,0,0,1
5,0,1,0,0,0,0,0,2,2,0,0,1
6,1,1,0,0,0,0,0,1,1,0,0,1
7,0,1,0,0,0,0,0,1,2,0,0,2
8,1,1,0,0,0,0,0,1,1,0,0,2
9,1,1,1,1,0,0,1,2,1,1,1,1
10,0,1,0,0,0,0,0,1,1,0,0,1
11,1,1,1,1,0,0,1,2,1,1,1,1
12,0,1,0,0,0,0,0,1,2,0,0,1
13,1,1,1,0,0,0,0,2,1,2,0,1
14,1,1,0,0,1,2,1,2,1,1,0,1
15,1,1,0,0,1,2,2,2,1,1,0,1
16,1,0,2,0,0,1,1,2,1,1,1,2
17,1,1,1,0,2,0,0,1,1,2,0,1
18,0,1,0,0,0,0,0,2,2,0,0,0
19,1,0,2,0,2,0,0,2,0,1,0,1
20,1,0,1,0,0,1,0,1,2,0,0,1
21,1,0,1,0,0,1,0,2,2,0,0,1
22,1,0,0,0,0,0,0,1,1,1,0,1
23,1,1,0,0,0,0,0,1,1,0,0,1
24,0,0,0,0,0,1,0,1,2,0,0,1
25,0,0,0,0,0,0,0,1,1,0,0,1
26,1,0,0,0,0,0,0,1,1,0,0,1
27,1,0,0,0,0,0,0,1,1,1,0,1
28,0,1,0,0,0,0,0,2,2,0,0,1
29,1,1,0,0,0,0,0,1,2,0,0,1
30,0,1,0,0,0,0,1,1,1,0,1,1
31,0,1,0,0,0,1,0,1,2,0,1,1
32,1,1,0,0,0,0,1,1,1,0,0,1
33,0,1,0,2,0,2,1,2,2,0,0,1
34,0,0,1,0,0,0,0,1,2,0,0,1
35,1,1,0,1,0,0,0,2,2,0,0,1
36,1,1,0,0,0,0,0,2,2,0,1,1
37,1,0,1,0,0,0,0,1,1,0,0,2
38,0,2,0,0,1,0,0,1,2,0,0,0
39,0,0,1,1,0,0,1,2,1,1,1,1
40,0,0,1,1,0,0,1,2,1,1,1,1
41,1,1,1,0,0,0,0,2,1,0,0,0
42,1,1,0,0,2,0,0,1,1,1,1,1
43,1,1,0,0,0,0,0,1,1,2,1,1
44,0,1,0,0,0,0,0,1,2,0,0,1
45,0,1,0,0,0,0,0,0,3,0,2,0
46,1,2,1,0,0,1,1,2,1,0,0,1
47,1,0,2,0,0,0,0,2,1,0,0,1
48,0,0,0,0,0,0,0,1,1,0,0,1
49,0,0,1,0,0,0,1,1,1,0,0,1
50,1,1,1,0,0,0,0,2,1,0,0,1
51,0,1,0,0,0,0,0,1,2,0,0,1
52,0,1,0,0,0,0,0,1,2,0,0,1
53,1,0,1,0,0,1,1,2,1,0,0,1
54,1,1,0,0,0,1,0,1,1,0,1,1
55,1,1,0,0,0,1,0,2,1,0,0,1
56,1,0,2,0,0,0,0,2,0,0,0,1
57,1,1,0,1,0,2,1,2,1,1,0,1
58,1,1,0,0,0,0,0,2,2,0,0,1
59,0,0,1,0,0,0,0,1,2,0,0,1
60,1,0,1,0,0,1,0,2,2,0,0,1
61,1,1,1,0,0,1,1,1,1,0,0,1
62,1,1,0,0,0,0,0,1,2,0,0,2
63,0,1,0,0,0,0,0,1,2,0,0,1
64,0,1,0,1,0,0,0,1,2,0,1,1
65,0,1,0,1,0,0,0,1,2,0,1,1
66,1,1,0,0,0,0,0,1,2,0,0,1
67,0,1,0,0,0,0,0,1,2,0,1,1
68,1,0,2,0,0,1,0,2,1,1,1,1
69,1,1,0,0,0,0,0,1,1,1,1,1
70,1,1,0,0,0,0,0,1,1,0,0,1
71,1,1,0,0,0,0,1,1,1,0,0,1
72,1,1,0,0,0,0,1,1,1,0,0,1
73,1,1,1,0,0,0,0,2,1,0,0,0
74,1,0,2,0,0,1,1,2,1,1,0,1
75,1,0,2,0,0,0,0,2,2,0,1,1
76,1,0,2,0,0,0,0,2,2,0,1,1
77,0,1,0,0,0,0,0,1,2,0,1,1
78,0,1,0,0,0,0,1,1,2,0,1,1
79,1,1,0,0,0,1,1,2,1,1,0,0
80,0,0,0,0,0,0,0,1,2,0,0,1
81,1,0,2,0,3,1,0,2,1,2,0,1
82,0,1,1,0,0,1,0,2,1,0,0,1
83,0,1,1,0,2,0,0,2,1,1,0,1
84,0,0,1,0,0,0,0,1,2,1,1,1
85,0,1,0,0,0,1,0,1,2,0,1,1
86,1,1,1,0,0,1,1,2,0,3,0,1
87,1,1,1,0,0,0,0,1,2,0,0,1
